iter	Accuracy	Logloss
0	0.8075842697	0.6561662975
1	0.8146067416	0.6259574533
2	0.816011236	0.603837836
3	0.816011236	0.5772705794
4	0.816011236	0.5546472123
5	0.827247191	0.5371282076
6	0.827247191	0.5193496063
7	0.827247191	0.5050013477
8	0.8286516854	0.4920788679
9	0.8300561798	0.4812995733
10	0.8328651685	0.4727890452
11	0.8286516854	0.4660846965
12	0.8328651685	0.4601263061
13	0.8328651685	0.4530037903
14	0.8328651685	0.4464025336
15	0.8328651685	0.4428257716
16	0.8328651685	0.4379097251
17	0.8314606742	0.4331327488
18	0.8314606742	0.42969026
19	0.8328651685	0.4264196032
20	0.8314606742	0.4232087327
21	0.8342696629	0.4198800286
22	0.8342696629	0.417180252
23	0.8356741573	0.4137048499
24	0.8356741573	0.411030628
25	0.8356741573	0.4088290188
26	0.8356741573	0.4079323374
27	0.8356741573	0.4059153299
28	0.8356741573	0.4048872184
29	0.8370786517	0.4039053564
30	0.8356741573	0.403370435
31	0.8370786517	0.4024477649
32	0.8370786517	0.4018502129
33	0.8370786517	0.4013971683
34	0.8370786517	0.3991115686
35	0.8370786517	0.3975707872
36	0.8370786517	0.3965028473
37	0.8384831461	0.3949713736
38	0.8370786517	0.3937515433
39	0.8384831461	0.3923984893
40	0.8398876404	0.3919226065
41	0.8412921348	0.391359754
42	0.8426966292	0.3910793537
43	0.8426966292	0.3902764796
44	0.8412921348	0.3892578337
45	0.8441011236	0.3885245652
46	0.8412921348	0.3879920405
47	0.8426966292	0.3871588241
48	0.8412921348	0.3865915144
49	0.8412921348	0.3864146718
50	0.8426966292	0.3862846027
51	0.8412921348	0.3857738606
52	0.8412921348	0.3856009208
53	0.8412921348	0.3851807509
54	0.8426966292	0.3848295184
55	0.8426966292	0.3836570821
56	0.8441011236	0.3831998699
57	0.8412921348	0.3827722653
58	0.8426966292	0.3819026315
59	0.8426966292	0.3818295136
60	0.8412921348	0.3814586182
61	0.8412921348	0.3808410387
62	0.8412921348	0.3799640623
63	0.8426966292	0.379538056
64	0.8412921348	0.3777047257
65	0.8412921348	0.3772906105
66	0.8426966292	0.3767827624
67	0.8398876404	0.376007378
68	0.8441011236	0.3755224624
69	0.8441011236	0.3748943128
70	0.8441011236	0.3737856519
71	0.8426966292	0.3731328435
72	0.845505618	0.3728759622
73	0.845505618	0.3725493537
74	0.845505618	0.3721912481
75	0.845505618	0.3721187788
76	0.845505618	0.3718689902
77	0.845505618	0.3712840806
78	0.845505618	0.3709345156
79	0.8469101124	0.3704327294
80	0.8469101124	0.3703643546
81	0.8469101124	0.3700753406
82	0.8483146067	0.3696303516
83	0.8469101124	0.3692671487
84	0.8483146067	0.3691137001
85	0.8483146067	0.3688032391
86	0.8483146067	0.368687251
87	0.8483146067	0.36854651
88	0.8483146067	0.3682664833
89	0.8483146067	0.3681892724
90	0.8497191011	0.3679116548
91	0.8483146067	0.366965113
92	0.8483146067	0.3667747704
93	0.8483146067	0.3665027853
94	0.8497191011	0.3660902931
95	0.8497191011	0.3658570047
96	0.8497191011	0.365531925
97	0.8497191011	0.3654439659
98	0.8497191011	0.364915974
99	0.8497191011	0.3647159579
