iter	Passed	Remaining
0	17	1736
1	26	1306
2	33	1091
3	50	1206
4	64	1229
5	85	1333
6	98	1313
7	115	1331
8	131	1332
9	152	1375
10	167	1357
11	181	1328
12	194	1299
13	210	1291
14	231	1310
15	251	1320
16	273	1333
17	293	1337
18	314	1339
19	329	1319
20	351	1321
21	373	1325
22	397	1331
23	424	1344
24	449	1347
25	470	1339
26	492	1331
27	515	1324
28	539	1321
29	563	1313
30	579	1290
31	603	1283
32	625	1270
33	647	1256
34	668	1240
35	688	1224
36	708	1206
37	727	1187
38	748	1169
39	768	1153
40	778	1120
41	799	1103
42	808	1071
43	831	1058
44	865	1057
45	894	1049
46	917	1034
47	937	1016
48	957	996
49	979	979
50	1005	966
51	1027	948
52	1035	918
53	1052	896
54	1068	874
55	1091	857
56	1114	840
57	1136	823
58	1157	804
59	1168	779
60	1191	761
61	1215	745
62	1239	727
63	1260	708
64	1280	689
65	1301	670
66	1321	651
67	1342	631
68	1363	612
69	1384	593
70	1405	574
71	1424	554
72	1445	534
73	1464	514
74	1485	495
75	1494	472
76	1514	452
77	1537	433
78	1562	415
79	1584	396
80	1594	374
81	1617	355
82	1641	336
83	1661	316
84	1681	296
85	1701	277
86	1722	257
87	1744	237
88	1766	218
89	1791	199
90	1813	179
91	1833	159
92	1855	139
93	1876	119
94	1897	99
95	1917	79
96	1940	60
97	1961	40
98	1983	20
99	2003	0
