iter	Passed	Remaining
0	1	464
1	2	426
2	4	417
3	5	427
4	6	390
5	7	389
6	9	387
7	10	367
8	11	367
9	12	366
10	13	365
11	15	365
12	16	364
13	17	363
14	19	362
15	20	361
16	21	360
17	22	359
18	24	358
19	25	357
20	25	344
21	27	344
22	28	343
23	29	342
24	31	341
25	32	341
26	33	340
27	34	339
28	36	339
29	36	332
30	38	331
31	39	331
32	40	330
33	42	330
34	43	329
35	44	329
36	46	328
37	47	327
38	48	326
39	50	325
40	51	324
41	52	325
42	54	324
43	55	323
44	56	322
45	58	321
46	59	318
47	60	317
48	61	316
49	63	315
50	64	314
51	65	313
52	66	312
53	68	311
54	69	310
55	71	309
56	72	308
57	73	307
58	74	306
59	76	305
60	77	303
61	78	302
62	80	302
63	81	301
64	83	300
65	84	300
66	85	298
67	87	297
68	88	296
69	89	295
70	91	293
71	92	292
72	93	291
73	94	290
74	96	288
75	97	287
76	98	286
77	100	285
78	101	284
79	103	283
80	104	282
81	105	280
82	106	279
83	108	278
84	109	277
85	110	276
86	112	274
87	113	273
88	114	272
89	116	271
90	117	270
91	118	268
92	120	267
93	121	266
94	122	265
95	124	263
96	125	262
97	126	261
98	128	260
99	129	259
100	130	257
101	132	256
102	133	255
103	135	254
104	136	253
105	137	251
106	139	250
107	140	249
108	141	248
109	142	246
110	144	245
111	145	244
112	146	243
113	148	242
114	149	240
115	150	239
116	152	238
117	153	236
118	154	235
119	156	234
120	157	232
121	158	231
122	160	230
123	161	228
124	162	227
125	163	226
126	165	225
127	166	223
128	167	222
129	169	221
130	170	219
131	171	218
132	173	217
133	174	215
134	175	214
135	176	213
136	178	212
137	179	210
138	181	209
139	182	208
140	183	207
141	184	205
142	186	204
143	187	203
144	188	201
145	190	200
146	191	199
147	192	197
148	193	196
149	195	195
150	196	193
151	197	192
152	199	191
153	200	189
154	201	188
155	202	187
156	204	186
157	205	184
158	206	183
159	208	182
160	209	180
161	210	179
162	212	178
163	213	177
164	214	175
165	216	174
166	217	173
167	218	171
168	219	170
169	221	169
170	222	167
171	223	166
172	225	165
173	226	163
174	227	162
175	229	161
176	230	160
177	232	159
178	233	157
179	234	156
180	236	155
181	237	153
182	238	152
183	239	151
184	241	149
185	242	148
186	244	147
187	245	146
188	246	144
189	248	143
190	249	142
191	250	141
192	252	139
193	253	138
194	254	137
195	255	135
196	257	134
197	258	133
198	259	131
199	261	130
200	262	129
201	263	128
202	265	126
203	266	125
204	267	124
205	268	122
206	270	121
207	271	120
208	272	118
209	274	117
210	275	116
211	276	114
212	278	113
213	279	112
214	280	110
215	281	109
216	283	108
217	284	107
218	285	105
219	287	104
220	288	103
221	289	101
222	291	100
223	292	99
224	293	97
225	295	96
226	296	95
227	297	93
228	298	92
229	300	91
230	301	90
231	302	88
232	304	87
233	305	86
234	306	84
235	308	83
236	309	82
237	310	80
238	312	79
239	313	78
240	314	77
241	316	75
242	317	74
243	318	73
244	320	71
245	321	70
246	322	69
247	324	67
248	325	66
249	326	65
250	328	64
251	329	62
252	330	61
253	332	60
254	333	58
255	334	57
256	335	56
257	337	54
258	338	53
259	339	52
260	341	51
261	342	49
262	343	48
263	345	47
264	346	45
265	347	44
266	349	43
267	350	41
268	351	40
269	353	39
270	354	37
271	355	36
272	357	35
273	358	34
274	359	32
275	361	31
276	362	30
277	363	28
278	364	27
279	366	26
280	367	24
281	368	23
282	370	22
283	371	20
284	372	19
285	374	18
286	375	17
287	376	15
288	377	14
289	379	13
290	380	11
291	381	10
292	383	9
293	384	7
294	385	6
295	387	5
296	388	3
297	389	2
298	391	1
299	392	0
