iter	Passed	Remaining
0	140	139924
1	142	71062
2	146	48541
3	151	37603
4	155	31033
5	157	26121
6	159	22596
7	166	20586
8	167	18467
9	169	16774
10	171	15404
11	173	14248
12	174	13259
13	175	12394
14	177	11677
15	179	11019
16	180	10447
17	187	10237
18	189	9777
19	191	9361
20	192	8982
21	194	8624
22	195	8314
23	196	8005
24	198	7741
25	200	7500
26	201	7264
27	203	7064
28	211	7075
29	214	6934
30	216	6756
31	218	6596
32	219	6423
33	220	6275
34	222	6134
35	224	6003
36	225	5876
37	227	5761
38	229	5655
39	231	5548
40	232	5446
41	235	5380
42	237	5286
43	239	5196
44	243	5168
45	248	5158
46	252	5112
47	253	5024
48	255	4949
49	258	4905
50	259	4834
51	260	4751
52	262	4686
53	263	4624
54	265	4564
55	266	4497
56	268	4441
57	270	4386
58	271	4334
59	275	4321
60	277	4276
61	278	4220
62	280	4169
63	282	4125
64	283	4081
65	285	4039
66	286	3986
67	291	3992
68	293	3956
69	295	3925
70	296	3884
71	298	3848
72	299	3801
73	301	3768
74	302	3735
75	305	3714
76	306	3675
77	308	3644
78	309	3604
79	311	3585
80	313	3556
81	314	3524
82	316	3496
83	318	3468
84	319	3441
85	323	3435
86	325	3411
87	326	3387
88	329	3369
89	330	3346
90	332	33291	336	3325
92	338	3298
93	340	3278
94	342	3262
95	344	3240
96	345	3214
97	346	3193
98	348	3173
99	354	3191
100	356	3171
101	365	3214
102	366	31881103	370	3193104	376	3209
105	378	3189
1106	381	3186
107	383	3168
108	385	3150
109	387	3131
110	391	3134
111	399	3171
112	401	3153
113	402	3131
114	404	3115
115	406	3101
116	409	3087
117	411	3072
118	418	3099
119	420	3081
120	421	3058
121	428	3081
122	429	3065
123	436	3081
124	444	3111
125	512	3554
126	523	3600
127	525	3580
128	527	3561
129	528	3539
130	530	3519
131	532	3500
132	552	3603
133	554	3584
134	566	3627
135	569	3614
136	570	3595
137	572	3575
138	574	3556
139	575	3538
140	579	3531
141	581	3512
142	582	3493
143	586	3484
144	587	3465
145	589	3447
146	590	3428
147	591	3406
148	593	3388
149	594	3371
150	596	3354
151	604	3371
152	606	3355
153	607	3338
154	610	3326
155	611	3311
156	613	3295
157	614	3276
158	622	3290
159	623	3274
160	625	3259
161	627	3244
162	633	3252
163	635	3237
164	636	3221
165	641	3221
166	644	3216
167	651	3228
168	653	3213
169	655	3198
170	657	3187
171	659	3172
172	660	3158
173	663	3148
174	665	3135
175	666	3121
176	668	3107
177	669	3093
178	671	3080
179	672	3064
180	677	3064
181	678	3051
182	679	3035
183	681	3022
184	683	3009
185	684	2997
186	686	2984
187	689	2976
188	690	2962
189	691	2950
190	693	2938
191	695	2926
192	696	2912
193	698	2901
194	705	2914
195	707	2902
196	709	2891
197	712	2885
198	713	2873
199	715	2862
200	717	2851
201	719	2840
202	723	2839
203	729	2844
204	731	2835
205	732	2823
206	734	2813
207	736	2803
208	737	2792
209	739	2781
210	745	2786
211	746	2776
212	748	2766
213	754	2772
214	757	2764
215	759	2755
216	760	2745
217	762	2735
218	764	2725
219	766	2716
220	768	2707
221	769	2697
222	771	2687
223	773	2678
224	774	2669
225	776	2659
226	779	2652
227	781	2644
228	782	2635
229	784	2626
230	788	2624
231	792	2624
232	795	2617
233	800	2619
234	801	2610
235	803	2600
236	804	2589
237	805	2580
238	809	2577
