iter	RMSE
0	95.6528106
1	94.7677389
2	94.5330954
3	93.83755872
4	93.00050142
5	92.22635567
6	91.52028652
7	90.77850708
8	90.01122493
9	89.20687944
10	88.45444774
11	87.99309554
12	87.2206495
13	86.67581814
14	85.90289997
15	85.20525615
16	84.35998542
17	83.59962535
18	82.90525127
19	82.1726211
20	81.49486107
21	80.79256679
22	80.04517323
23	79.59240154
24	78.94451016
25	78.55749245
26	78.10533713
27	77.75062474
28	77.14298151
29	76.49982244
30	75.74978129
31	75.29106041
32	74.75008658
33	74.17250548
34	73.59247442
35	72.9568662
36	72.36274474
37	71.80831953
38	71.28803807
39	70.92127437
40	70.56664397
41	70.03733975
42	69.41353139
43	69.05419021
44	68.47354177
45	68.13318354
46	67.62896896
47	67.14174616
48	66.67489288
49	66.42372119
50	65.89526162
51	65.41612047
52	64.93695843
53	64.35547161
54	63.90082574
55	63.46394203
56	63.01757306
57	62.70610524
58	62.22026666
59	61.7227408
60	61.24749935
61	60.75276481
62	60.2316397
63	59.86157182
64	59.59613469
65	59.1881931
66	58.90856232
67	58.52918907
68	58.14505274
69	57.68900272
70	57.31220612
71	56.94474805
72	56.55702985
73	56.14985589
74	55.81559007
75	55.55002334
76	55.1481868
77	54.77082519
78	54.35354728
79	54.00302546
80	53.63240455
81	53.19321398
82	52.89288007
83	52.56264254
84	52.19833435
85	51.75403861
86	51.39787882
87	51.06932775
88	50.68567243
89	50.32520592
90	49.95174366
91	49.57433144
92	49.21084442
93	48.93668362
94	48.62254254
95	48.2895177
96	47.94468647
97	47.57774494
98	47.2563171
99	46.94786541
100	46.67723607
101	46.4481439
102	46.15049118
103	45.82743221
104	45.48650275
105	45.24899266
106	44.950222
107	44.65524098
108	44.36059219
109	44.05215701
110	43.82258787
111	43.65675378
112	43.30394757
113	42.96964083
114	42.72776564
115	42.39393463
116	42.15054145
117	41.84174848
118	41.56648203
119	41.33888249
120	41.01796245
121	40.76284871
122	40.5750514
123	40.30926422
124	40.03295125
125	39.80244853
126	39.60687319
127	39.36832168
128	39.11396732
129	38.91199123
130	38.65222439
131	38.40132274
132	38.1245528
133	37.93096315
134	37.79180372
135	37.57072447
136	37.32371965
137	37.07663286
138	36.83189981
139	36.6024968
140	36.38131082
141	36.15556864
142	35.8857884
143	35.69115258
144	35.45937594
145	35.24578753
146	35.05872759
147	34.89963156
148	34.72422694
149	34.52481766
150	34.29782418
151	34.12087939
152	33.93903772
153	33.71266334
154	33.5000778
155	33.25271535
156	33.01778245
157	32.82860617
158	32.62750168
159	32.40532721
160	32.25871934
161	32.06301223
162	31.82690489
163	31.63383556
164	31.44250506
165	31.30054991
166	31.08200427
167	30.9257963
168	30.81879871
169	30.67022249
170	30.49792664
171	30.33750444
172	30.17027901
173	29.99788235
174	29.80946157
175	29.6400919
176	29.4706766
177	29.30107307
178	29.19219165
179	29.03764711
180	28.856944
181	28.67410462
182	28.52262083
183	28.32291851
184	28.12894142
185	27.98498876
186	27.81374385
187	27.64205986
188	27.50037885
189	27.36481014
190	27.23849211
191	27.11901266
192	26.96443831
193	26.808553
194	26.69644063
195	26.57522037
196	26.45066176
197	26.29498095
198	26.12406509
199	26.03207513
200	25.87606429
201	25.79060309
202	25.64170179
203	25.54738041
204	25.43732103
205	25.31214898
206	25.23738958
207	25.05989052
208	24.94208833
209	24.86887253
210	24.74984473
211	24.58601596
212	24.43143557
213	24.31741089
214	24.16544795
215	24.03662028
216	23.92259954
217	23.78223748
218	23.6831874
219	23.56702258
220	23.46457482
221	23.35905504
222	23.2072356
223	23.05515403
224	22.98815407
225	22.84721986
226	22.76075229
227	22.63042359
228	22.57167477
229	22.48322772
230	22.39714223
231	22.33209305
232	22.25087584
233	22.18064418
234	22.0660006
235	21.97693215
236	21.91512195
237	21.83042635
238	21.70132413
239	21.61775902
240	21.503067
241	21.41522817
242	21.31744318
243	21.24063174
244	21.10701653
245	21.05139218
246	20.96393987
247	20.83763132
248	20.78309557
249	20.67110549
250	20.59995564
251	20.49639275
252	20.43040154
253	20.31975579
254	20.20200146
255	20.12584648
256	20.04523307
257	19.97083643
258	19.83655445
259	19.77300596
260	19.70272469
261	19.61241342
262	19.54803429
263	19.48253153
264	19.40474782
265	19.33917703
266	19.24877674
267	19.18884724
268	19.13122079
269	19.06611831
270	18.99671636
271	18.93005866
