iter	Passed	Remaining
0	0	524
1	0	465
2	1	355
3	1	361
4	1	347
5	2	353
6	2	355
7	2	361
8	3	363
9	3	364
10	4	366
11	4	368
12	4	368
13	5	369
14	5	369
15	6	369
16	6	369
17	6	371
18	7	372
19	7	372
20	7	372
21	8	372
22	8	372
23	9	372
24	9	372
25	9	371
26	10	371
27	10	371
28	11	371
29	11	371
30	11	371
31	12	366
32	12	369
33	13	369
34	13	371
35	13	371
36	14	367
37	14	364
38	14	363
39	15	362
40	15	361
41	15	361
42	16	360
43	16	359
44	16	358
45	17	356
46	17	355
47	17	354
48	18	350
49	18	347
50	18	346
51	18	346
52	19	346
53	19	345
54	20	344
55	20	344
56	20	344
57	21	343
58	21	343
59	21	342
60	22	342
61	22	341
62	22	341
63	23	340
64	23	340
65	24	339
66	24	339
67	24	339
68	25	338
69	25	338
70	25	337
71	26	337
72	26	337
73	26	336
74	27	336
75	27	336
76	28	337
77	28	337
78	28	337
79	29	338
80	29	338
81	30	338
82	30	339
83	31	339
84	31	339
85	31	339
86	32	339
87	32	339
88	33	340
89	33	340
90	34	340
91	34	340
92	34	340
93	35	340
94	35	340
95	36	340
96	36	340
97	37	341
98	37	341
99	37	341
100	38	340
101	38	340
102	39	340
103	39	340
104	39	340
105	40	341
106	40	341
107	41	341
108	41	341
109	42	340
110	42	339
111	42	339
112	43	340
113	43	340
114	44	340
115	44	340
116	45	340
117	45	339
118	45	339
119	46	339
120	46	338
121	46	338
122	47	337
123	47	337
124	48	337
125	48	336
126	48	336
127	49	336
128	49	335
129	50	335
130	50	334
131	50	334
132	51	334
133	51	333
134	52	333
135	52	332
136	52	332
137	53	332
138	53	331
139	53	331
140	54	331
141	54	330
142	55	330
143	55	329
144	55	329
145	56	328
146	56	328
147	56	328
148	57	327
149	57	327
150	58	328
151	58	327
152	59	327
153	59	326
154	59	326
155	60	326
156	60	325
157	61	325
158	61	325
159	61	324
160	62	324
161	62	323
162	62	323
163	63	322
164	63	322
165	64	321
166	64	321
167	64	321
168	65	320
169	65	320
170	65	319
171	66	319
172	66	319
173	67	318
174	67	318
175	67	317
176	68	317
177	68	318
178	69	318
179	69	318
180	70	318
181	70	318
182	71	318
183	71	318
184	72	318
185	72	318
186	73	318
187	73	318
188	74	317
189	74	317
190	74	317
191	75	317
192	75	316
193	76	316
194	76	316
195	77	316
196	77	315
197	77	315
198	78	315
199	78	315
200	79	314
201	79	314
202	80	314
203	80	313
204	80	313
205	81	313
206	81	312
207	82	312
208	82	312
209	82	312
210	83	311
211	83	311
212	84	311
213	84	310
214	85	310
215	85	310
216	85	309
217	86	309
218	86	309
219	87	309
220	87	309
221	88	308
222	88	308
223	88	308
224	89	307
225	89	307
226	90	307
227	90	306
228	91	306
229	91	306
230	91	305
231	92	305
232	92	305
233	93	304
234	93	304
235	93	304
236	94	303
237	94	303
238	95	303
239	95	302
240	96	302
241	96	302
242	96	301
243	97	301
244	97	301
245	98	300
246	98	300
247	98	299
248	99	299
249	99	298
250	100	298
251	100	298
252	100	297
253	101	297
254	101	296
255	101	296
256	102	296
257	102	295
258	103	295
259	103	295
260	104	295
261	104	294
262	105	294
263	105	294
264	105	293
265	106	293
266	106	293
267	107	292
268	107	292
269	108	292
270	108	291
271	108	291
272	109	290
273	109	290
274	110	290
275	110	289
276	110	289
277	111	289
278	111	288
