iter	RMSE
0	3743.85164
1	3518.800695
2	3307.99983
3	3103.145087
4	2922.307121
5	2753.021514
6	2598.881824
7	2448.940506
8	2316.968382
9	2190.279175
10	2074.548413
11	1970.076552
12	1874.678797
13	1786.69313
14	1706.157308
15	1627.726925
16	1557.009233
17	1494.408127
18	1432.975557
19	1377.505046
20	1327.1105
21	1280.533856
22	1237.719763
23	1199.736485
24	1161.999765
25	1129.283367
26	1097.861111
27	1067.084129
28	1037.982833
29	1011.220292
30	988.8051162
31	965.97663
32	943.2614712
33	923.8436495
34	907.7757873
35	890.5951667
36	876.3812857
37	860.9283849
38	845.5418154
39	832.9705631
40	821.7599371
41	810.413835
42	799.9709163
43	790.213459
44	781.9244324
45	773.3190921
46	766.0554768
47	759.4217716
48	753.3510581
49	746.9403281
50	740.6191074
51	733.8609814
52	726.6843218
53	721.6963386
54	717.7699368
55	712.2024982
56	706.774682
57	703.2474242
58	698.5520362
59	695.587089
60	692.2520713
61	689.2297341
62	685.5790601
63	682.8985359
64	680.0924032
65	676.5198477
66	674.7922129
67	672.1473315
68	669.8916303
69	666.6405228
70	664.7678588
71	661.0755287
72	657.5054152
73	654.8433747
74	652.793803
75	650.8006025
76	648.9607569
77	645.7623793
78	644.184204
79	642.6625441
80	641.081378
81	639.760456
82	638.2721363
83	636.7901439
84	634.9354708
85	632.9414509
86	629.6719071
87	628.1317712
88	627.3339004
89	626.005869
90	624.0866409
91	620.9943094
92	619.9672679
93	618.7972362
94	617.0099597
95	616.1381101
96	615.209954
97	613.456587
98	612.3674582
99	610.5392397
100	609.7904352
101	608.9948017
102	607.6666666
103	606.7239944
104	605.5296114
105	603.7953262
106	603.3388447
107	601.7886258
108	600.6654567
109	598.8462248
110	597.7701526
111	596.7609212
112	595.2571147
113	594.5268454
114	593.4211316
115	591.7866113
116	590.4997906
117	589.7199773
118	588.975748
119	588.4353022
120	588.0127089
121	587.5293016
122	586.1511674
123	584.1868845
124	583.767602
125	583.0668789
126	582.3122371
127	580.5965482
128	579.7774663
129	579.0058335
130	577.7801842
131	577.2193075
132	576.3421892
133	574.879452
134	574.5417688
135	573.7060601
136	572.9660234
137	572.3230901
138	571.7280764
139	570.8307076
140	570.5502716
141	570.1158854
142	569.140889
143	568.3346112
144	566.86169
145	566.3482564
146	565.3057711
147	564.6681389
148	564.1511157
149	563.1332137
150	561.9159811
151	560.9835464
152	560.5859913
153	559.6829825
154	558.9261066
155	558.4463208
156	557.8729739
157	557.0879152
158	556.341791
159	555.6725248
160	554.6578999
161	554.0344644
162	553.3865805
163	553.2089361
164	552.8048622
165	552.3450535
166	552.0944969
167	551.76543
168	551.4978097
169	550.9746568
170	550.1929599
171	549.7659806
172	549.0765153
173	548.465589
174	547.9683061
175	547.478257
176	547.1614699
177	546.8568944
178	546.2325383
179	545.9413355
180	545.6228372
181	544.8561619
182	544.5452427
183	544.0610798
184	543.8267838
185	543.4925013
186	542.7485043
187	542.1147089
188	541.737528
189	541.4826014
190	540.8285241
191	540.2443352
192	539.6896166
193	539.2004546
194	538.792888
195	538.5552859
196	538.4128834
197	538.3716183
198	538.2470388
199	537.8259135
200	537.704527
201	537.081864
202	536.6007635
203	536.1562491
204	535.879398
205	535.1787682
206	534.6097622
207	534.2541614
208	534.0158797
209	533.7947607
210	533.6873553
211	533.1554844
212	532.8375255
213	532.4681554
214	532.2790161
215	531.8842966
216	531.7840789
217	531.1521325
218	530.8108129
219	530.718557
220	530.5450546
221	530.3238662
222	530.0435478
223	529.3905627
224	528.9488798
225	528.6822493
226	528.4401906
227	528.1854436
228	527.8712599
229	527.2539483
230	527.0388614
231	526.6126038
232	526.2138279
233	525.6378381
234	525.2327032
235	525.0220393
236	524.7849019
237	524.3612244
238	523.872359
239	523.4990398
240	523.1810834
241	522.609073
242	522.1045288
243	521.5891227
244	521.1919789
245	520.9331366
246	520.5368647
247	520.085382
248	519.7431796
249	519.2334562
250	519.0650236
251	518.771847
252	518.4733079
253	518.205017
254	518.0326558
255	517.8856329
256	517.582704
257	517.4607119
258	517.3643805
259	517.2589232
260	516.976607
261	516.6925018
262	516.27852
263	516.0884144
264	515.8623461
265	515.7512502
266	515.4365845
267	515.2864289
268	515.0927566
269	514.7757542
270	514.6415182
271	514.3311185
272	514.2306425
273	514.0337413
274	513.7887144
275	513.6646716
276	513.5497741
277	513.2070391
278	512.841282
279	512.5728451
280	512.3595824
281	512.2504009
282	512.0787931
283	511.8770132
284	511.7565883
285	511.5220965
286	511.3048509
287	511.0361371
288	510.7095953
289	510.6167847
290	510.4246743
291	510.2673649
292	509.9083843
293	509.6540266
