iter	Passed	Remaining
0	159	159057
1	174	86966
2	193	64392
3	210	52492
4	229	45723
5	246	40899
6	268	38069
7	297	36838
8	315	34700
9	342	33948
10	367	33022
11	382	31528
12	404	30692
13	425	29952
14	451	29636
15	469	28848
16	492	28500
17	509	27800
18	539	27831
19	559	27415
20	585	27309
21	601	26761
22	629	26738
23	652	26539
24	675	26359
25	699	26198
26	717	25842
27	736	25559
28	757	25367
29	778	25176
30	830	25950
31	862	26084
32	907	26606
33	930	26423
34	960	26483
35	1013	27130
36	1048	27293
37	1086	27508
38	1104	27206
39	1153	27694
40	1181	27643
41	1201	27395
42	1220	27156
43	1234	26830
44	1253	26605
45	1271	26366
46	1288	26124
47	1303	25857
48	1324	25709
49	1347	25610
50	1367	25442
51	1390	25341
52	1413	25248
53	1439	25218
54	1464	25169
55	1500	25295
56	1531	25333
57	1551	25197
58	1576	25141
59	1609	25218
60	1625	25026
61	1643	24868
62	1662	24731
63	1696	24809
64	1715	24680
65	1738	24595
66	1765	24589
67	1793	24582
68	1816	24515
69	1838	24427
70	1875	24540
71	1910	24628
72	1931	24531
73	1960	24537
74	1988	24519
75	2011	24461
76	2039	24443
77	2066	24423
78	2085	24317
79	2107	24237
80	2136	24236
81	2179	24401
82	2193	24235
83	2211	24110
84	2231	24024
85	2268	24108
86	2307	24210
87	2346	24315
88	2380	24370
89	2413	24400
90	2434	24320
91	2462	24300
92	2485	24242
93	2507	24171
94	2536	24160
95	2556	24076
96	2600	24207
97	2630	24211
98	2649	24111
99	2677	24098
100	2713	24150
101	2751	24224
102	2775	24166
103	2816	24265
104	2851	24308
105	2877	24269
106	2910	24290
107	2932	24223
108	2954	24153
109	2976	24081
110	2998	24012
111	3015	23905
112	3040	23862
113	3057	23759
114	3072	23643
115	3100	23629
116	3121	23560
117	3141	23484
118	3162	23413
119	3178	23309
120	3195	23210
121	3210	23101
122	3231	23041
123	3247	22944
124	3265	22859
125	3279	22748
126	3297	22665
127	3314	22580
128	3333	22504
129	3346	22394
130	3363	22313
131	3384	22255
132	3404	22194
