iter	RMSE
0	1.1902001331	1.209980252
2	1.199492799
3	1.188407023
4	1.180419997
5	1.170186592
6	1.159039891
7	1.149028724
8	1.138356907
9	1.127717475
10	1.119160363
11	1.110077076
12	1.101938876
13	1.094742121
14	1.086450681
15	1.078683275
16	1.069435178
17	1.061793195
18	1.05557927
19	1.048423669
20	1.040439071
21	1.032356173
22	1.026872134
23	1.020997719
24	1.016138918
25	1.009550834
26	1.003798297
27	0.99827	0.9628	0.992328	0.9529	0.985129	0.9430	0.97930	0.94431	0.97431	0.93832	0.9698440494
33	0.9651837473
34	0.9601808131
35	0.956285323
36	0.9502172656
37	0.94737	0.91038	0.9438177048
39	0.9402690859
40	0.9367108194
41	0.933769339
42	0.9289644258
43	0.9245208578
44	0.920876621
45	0.915919178
46	0.9128490828
47	0.9079149684
48	0.9044916203
49	0.900154877
50	0.8968869639
51	0.8934804646
52	0.8900349908
53	0.8865759722
54	0.8838462895
55	0.8813249627
56	0.8794141292
57	0.8763027137
58	0.8728005362
59	0.8710101822
60	0.8683571756
61	0.8646514374
6262	0.8598440846363	0.8569545649
64	0.8551544445
65	0.8533842139
66	0.8517380219
67	0.848624595
68	0.8460184799
69	0.8426457575
70	0.8408381003
71	0.8389672717
72	0.8370817169
73	0.833949739
74	0.832473086
75	0.8302025912
76	0.8270940209
77	0.8257865599
78	0.8232448105
79	0.8205746915
80	0.8179239574
81	0.8153565969
82	0.8136925445
83	0.8115232026
84	0.8108744083
85	0.8093170616
86	0.8070313237
87	0.8058040871
88	0.804707283
89	0.8023634428
90	0.7996845178
91	0.7973467635
92	0.795338986
93	0.7942713393
94	0.7924924034
95	0.7905632187
96	0.7896578331
97	0.7877582315
98	0.7869633629
99	0.7849853391
100	0.7832384937
101	0.7817556063
102	0.780100086
103	0.7776774419
104	0.7758807281
105	0.7741753219
106	0.7730802804
107	0.7716563475
108	0.7700491272
109	0.7683878694
110	0.7672269905
111	0.7664774883
112	0.7653975249
113	0.7639647451
114	0.7618353164
115	0.7600704218
116	0.7589251309
117	0.7578015207
118	0.7560148783
119	0.7526398968
120	0.7513000849
121	0.7497698791
122	0.7485098903
123	0.746333742
124	0.7443519924
125	0.7430631352
126	0.7424161209
127	0.7410689404
128	0.7401852585
129	0.7392062862
130	0.7377735721
131	0.7359776752
132	0.7348304531
133	0.7337594704
134	0.7322303942
135	0.7308468079
136	0.7298136544
137	0.7284965444
138	0.7278000324
139	0.7260304809
140	0.725047535
141	0.7244083317
142	0.7230122353
143	0.7216186527
144	0.720272214
145	0.7188553324
146	0.7168433254
147	0.7159187288
148	0.7139052856
149	0.7126924702
150	0.7106185522
151	0.7094075555
152	0.7084066016
153	0.7076235128
154	0.7068121506
155	0.7057471547
156	0.7031161662
157	0.7025282819
158	0.7011258022
159	0.6998228583
160	0.6988781993
161	0.69738057
162	0.6960439443
163	0.6946039881
164	0.6934839146
165	0.692686463
166	0.6913349802
167	0.690074033
168	0.6889610836
169	0.6880718139
170	0.6868481577
171	0.6855616852
172	0.6847919573
173	0.6832805449
174	0.6824884068
175	0.6820521073
176	0.6811207918
177	0.6791239799
178	0.6781882874
179	0.6771874515
180	0.6760140625
181	0.6753636651
182	0.6745152805
183	0.6735014119
184	0.6719050379
185	0.6714353887
186	0.6702498388
187	0.6693292137
188	0.6680659444
189	0.6669056534
190	0.6656577575
191	0.6643445909
192	0.6631975787
193	0.6625837373
194	0.6619283246
195	0.661112913
196	0.6607109836
197	0.6600651239
198	0.6587981069
199	0.6577125101
200	0.6570004876
201	0.656424228
202	0.6551393368
203	0.654513457
204	0.6538714604
205	0.6532012037
206	0.6531327188
207	0.6523542528
208	0.6517595182
209	0.6500461762
210	0.6492664318
211	0.6487449243
212	0.6478885172
213	0.6471348875
214	0.6463126277
215	0.6447244693
216	0.6436351047
217	0.643158946
218	0.6413950076
219	0.6404562318
220	0.6397551294
221	0.6391059152
222	0.6385942173
223	0.6375499588
224	0.6367840247
225	0.6350077767
226	0.6344018221
227	0.6338750649
228	0.6332322572
229	0.6316660769
230	0.6309366051
231	0.630372491
232	0.6296559146
233	0.6286292994
234	0.6282075534
235	0.6270363189
236	0.626291494
237	0.6259486378
238	0.6255358125
239	0.6246899138
240	0.6241969639
241	0.6236666141
242	0.6229142744
243	0.6220971857
244	0.6209892363
245	0.6205073034
246	0.6192547507
247	0.6183684564
248	0.6177106168
249	0.616889079
250	0.6155370332
251	0.6148908027
252	0.6143916108
253	0.6128266944
254	0.6122706824
255	0.6107533384
256	0.6104249679
257	0.6099554838
258	0.6092452166
259	0.6086827705
260	0.6083239316
261	0.6070240504
262	0.6063239076
263	0.6053011719
264	0.6046662471
265	0.6043053412
266	0.6035810945
267	0.6028082527
268	0.6024973402
269	0.6015870652
270	0.6010584939
271	0.6007385424
272	0.600184605
273	0.5998813164
274	0.5994181419
275	0.5986524549
276	0.5983094017
277	0.5979032606
278	0.5972827176
279	0.5956760112
280	0.5944891634
281	0.5940947791
282	0.5927426156
283	0.5919832048
284	0.5905011141
285	0.5900064072
286	0.5884122461
287	0.587924222
288	0.5874699893
289	0.5864218819
290	0.586054138
291	0.5847690128
292	0.5836566244
293	0.5832513893
294	0.5826216137
295	0.5818376857
296	0.5805155111
297	0.5800777269
298	0.5795613207
299	0.5789781619
300	0.5784986112
301	0.5781131015
302	0.5778439171
303	0.5757977037
304	0.5744912602
305	0.5731575511
306	0.5718371607
307	0.5715287419
308	0.5710106807
309	0.5706743635
310	0.569559715
311	0.5691902918
312	0.5688816387
313	0.5686504023
314	0.567877099
315	0.5669674134
316	0.5665994523
317	0.5663617868
318	0.5646333015
319	0.564297256
320	0.5638980352
321	0.5630639601
322	0.5621613199
323	0.5604107768
324	0.5600096451
325	0.5596299201
326	0.5586146022
327	0.5580541843
328	0.5566523041
329	0.556016607
330	0.5549424518
331	0.5546574172
332	0.5543627408
333	0.5539866912
334	0.5525258221
335	0.5517567613
336	0.550425985
337	0.5497284207
338	0.5487323692
339	0.5475567771
340	0.547345524
341	0.5468412349
342	0.5465294859
343	0.5462247863
344	0.5458980761
345	0.5451717261
346	0.5449331118
347	0.5444202609
348	0.5441096306
349	0.5438322241
350	0.5429524412
351	0.5422946832
352	0.5407554645
353	0.5405236217
354	0.5403221263
355	0.5400174386
356	0.5397931004
357	0.5393111106
358	0.5382527243
359	0.5374073049
360	0.535887804
361	0.5354247943
362	0.5336154351
363	0.5333231583
364	0.5324423749
365	0.5311382247
366	0.5297097093
367	0.5290557537
368	0.5281309549
369	0.5279518659
370	0.5277102725
371	0.5261047143
372	0.5258523933
373	0.5254219438
374	0.5250643816
375	0.5245142175
376	0.5241898252
377	0.5239456193
378	0.5228157591
379	0.5223045781
380	0.5218726129
381	0.5209380362
382	0.5194350095
383	0.5192407663
384	0.5178068873
