iter	Passed	Remaining
0	139	138908
1	140	70016
2	142	47416
3	143	35822
4	146	29220
5	149	24731
6	150	21406
7	152	18910
8	154	16980
9	155	15414
10	156	14111
11	158	13047
12	159	12140
13	161	11369
14	163	10717
15	165	10165
16	167	9661
17	169	9222
18	170	8801
19	171	8420
20	172	8053
21	174	7751
22	175	7455
23	176	7171
24	178	6952
25	179	6735
26	181	6532
27	185	6455
28	187	6281
29	189	6131
30	190	5969
31	192	5813
32	191	5606
33	194	5530
34	195	5399
35	197	5290
36	199	5190
37	203	5141
38	202	4991
39	204	4914
40	207	4847
41	209	4775
42	211	4702
43	212	4620
44	215	4570
45	217	4504
46	219	4442
47	220	4369
48	221	4295
49	222	4234
50	224	4185
51	226	4123
52	227	4063
53	229	4013
54	230	3961
55	231	3910
56	234	3871
57	235	3832
58	237	3791
59	239	3758
60	246	3788
61	248	3764
62	284	4230
63	287	4201
64	288	4154
65	291	4119
66	293	4080
67	296	4067
68	300	4051
69	302	4023
70	308	4041
71	310	3997
72	311	3957
73	316	3954
74	317	3916
75	319	3889
76	329	3947
77	332	3925
78	333	3887
79	340	3920
80	342	3887
81	344	3851
82	345	3815
83	346	3783
84	347	3741
85	350	3727
86	353	3709
87	355	3688
88	357	3657
89	358	3628
90	361	3612
91	363	3584
92	364	3555
93	368	3554
94	375	3577
95	376	3549
96	378	3528
97	380	3501
98	382	3482
99	384	3456
100	385	3434
101	387	3412
102	397	3459
103	398	3434
104	399	3408
105	401	3385
106	414	3459
107	415	3435
108	418	3417
109	421	3412
110	424	3398
111	427	3393
112	431	3389
113	438	3411
114	443	3414
115	445	3391
116	446	3368
117	449	3358
118	452	3353
119	457	3356
120	462	3356
121	465	3347
122	472	3365
123	473	3347
124	478	3347
125	483	3351
126	489	3365
127	496	3381
128	498	3368
129	501	3354
130	503	3341
131	508	3345
132	510	3326
133	511	3307
134	514	3297
135	526	3347
136	532	3357
137	534	3340
138	537	3329
139	538	3310
140	540	3290
141	543	3286
142	545	3267
